iteração 170: [[1, 3], 'o', 0, 'perceber', None]
iteração 171: [[1, 3], 's', 0, 'alterar sentido', 'd']
iteração 172: [[1, 3], 's', 0, 'perceber', None]
iteração 173: [[2, 3], 's', 0, 'andar', None]
iteração 174: [[2, 3], 's', 0, 'perceber', None]
iteração 175: [[2, 3], 'l', 0, 'alterar sentido', 'd']
iteração 176: [[2, 3], 'l', 0, 'perceber', None]
iteração 177: [[2, 3], 'n', 0, 'alterar sentido', 'd']
iteração 178: [[2, 3], 'n', 0, 'perceber', None]
iteração 179: [[1, 3], 'n', 0, 'andar', None]
iteração 180: [[1, 3], 'n', 0, 'perceber', None]
iteração 181: [[1, 3], 'l', 0, 'alterar sentido', 'e']
iteração 182: [[1, 3], 'l', 0, 'perceber', None]
iteração 183: [[1, 3], 'l', 0, 'andar', None]
iteração 184: [[1, 3], 'l', 0, 'perceber', None]
iteração 185: [[1, 3], 'n', 0, 'alterar sentido', 'd']
iteração 186: [[1, 3], 'n', 0, 'perceber', None]
iteração 187: [[0, 3], 'n', 0, 'andar', None]
iteração 188: [[0, 3], 'n', 0, 'perceber', None]
iteração 189: [[0, 3], 'n', 0, 'andar', None]
iteração 190: [[0, 3], 'n', 0, 'perceber', None]
iteração 191: [[0, 3], 'l', 0, 'alterar sentido', 'e']
iteração 192: [[0, 3], 'l', 0, 'perceber', None]
iteração 193: [[0, 3], 'l', 0, 'andar', None]
iteração 194: [[0, 3], 'l', 0, 'perceber', None]
iteração 195: [[0, 3], 's', 0, 'alterar sentido', 'e']
iteração 196: [[0, 3], 's', 0, 'perceber', None]
iteração 197: [[1, 3], 's', 0, 'andar', None]
iteração 198: [[1, 3], 's', 0, 'perceber', None]
iteração 199: [[2, 3], 's', 0, 'andar', None]
